employer_name,posting_url,location_state,location_city,employment_type,job_title,created_at,expiration_date,apply_start
CaseGuard,https://app.joinhandshake.com/jobs/9314227,Virginia,Arlington,Full-Time,Business Analyst,2024-09-18T14:04:11.080-04:00,2025-03-18T06:00:00.000-04:00,2024-09-18T06:00:00.000-04:00
Salesforce,https://app.joinhandshake.com/jobs/9294944,California,San Francisco Bay Area,Full-Time,Summer 2025 Intern - Software Engineer,2024-09-12T10:54:18.039-04:00,2025-03-28T06:00:00.000-04:00,2024-09-12T06:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9304776,,,Part-Time,"Coders - AI Training (Freelance, Remote)",2024-09-16T13:03:50.452-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
"RELI Group, Inc.",https://app.joinhandshake.com/jobs/9246296,,,Part-Time,Project Analyst Intern,2024-08-28T17:00:31.046-04:00,2024-09-30T06:00:00.000-04:00,2024-08-28T06:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9242272,,,Full-Time,Data Engineer Summer Internship – 2025 (US),2024-08-27T23:02:40.043-04:00,2025-04-30T09:00:00.000-04:00,2024-08-27T09:00:00.000-04:00
Salesforce,https://app.joinhandshake.com/jobs/9304416,California,San Francisco Bay Area,Full-Time,Software Engineering AMTS/MTS (New Grad),2024-09-16T12:07:42.246-04:00,2025-03-16T06:00:00.000-04:00,2024-09-16T06:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9282058,British Columbia,Victoria,Part-Time,Jr. Software Development Engineer,2024-09-09T17:13:40.128-04:00,2025-03-09T10:00:00.000-04:00,2024-09-09T09:00:00.000-04:00
C3 AI,https://app.joinhandshake.com/jobs/9259862,California,Redwood City,Full-Time,Software Engineer - Intern (Summer 2025),2024-09-03T14:05:09.777-04:00,2025-03-03T09:00:00.000-05:00,2024-09-03T09:00:00.000-04:00
Coursicle,https://app.joinhandshake.com/jobs/8926051,New York,New York,Full-Time,Software Engineer in NYC,2024-05-21T02:55:26.908-04:00,2024-09-30T06:00:00.000-04:00,2024-04-26T06:00:00.000-04:00
C3 AI,https://app.joinhandshake.com/jobs/9259836,California,Redwood City,Full-Time,Data Science - Intern (Summer 2025),2024-09-03T14:01:41.203-04:00,2025-03-01T09:00:00.000-05:00,2024-09-03T09:00:00.000-04:00
Dash Technologies Inc,https://app.joinhandshake.com/jobs/9124719,Ohio,Columbus,Full-Time,Data Scientist,2024-07-18T16:25:16.534-04:00,2024-12-20T07:00:00.000-05:00,2024-07-18T07:00:00.000-04:00
Bentley Systems,https://app.joinhandshake.com/jobs/9176831,Pennsylvania,Exton,Full-Time,Software Development Intern,2024-08-07T12:24:00.099-04:00,2025-02-07T06:00:00.000-05:00,2024-08-30T06:00:00.000-04:00
Find Me,https://app.joinhandshake.com/jobs/9283027,,,Part-Time,Cloud Infrastructure Intern (AWS/Azure) – Unpaid,2024-09-13T13:30:52.794-04:00,2025-03-09T07:00:00.000-04:00,2024-09-09T06:00:00.000-04:00
Seed Oil Scout,https://app.joinhandshake.com/jobs/9281706,,,Full-Time,Software Engineer,2024-09-09T16:24:01.494-04:00,2025-03-09T07:00:00.000-04:00,2024-09-09T06:00:00.000-04:00
Roblox,https://app.joinhandshake.com/jobs/9172836,California,San Mateo,Full-Time,[Summer 2025] Software Engineer - Intern,2024-08-06T12:58:00.251-04:00,2025-02-06T09:00:00.000-05:00,2024-08-06T09:00:00.000-04:00
Riveting Technology,https://app.joinhandshake.com/jobs/9154549,,,Part-Time,AI/Data Science Intern,2024-07-31T02:40:02.646-04:00,2025-01-30T08:00:00.000-05:00,2024-07-30T09:00:00.000-04:00
TravelWits,https://app.joinhandshake.com/jobs/8952478,Pennsylvania,Pittsburgh,Full-Time,Software Engineer,2024-08-07T15:25:48.963-04:00,2024-11-06T20:00:00.000-05:00,2024-05-06T21:00:00.000-04:00
Verite Group,https://app.joinhandshake.com/jobs/9145478,Virginia,Sterling,Full-Time,Software Engineer - R24-050,2024-07-26T15:11:28.312-04:00,2025-07-25T06:00:00.000-04:00,2024-07-26T06:00:00.000-04:00
Persona Identities,https://app.joinhandshake.com/jobs/9295896,California,San Francisco,Full-Time,Technical Rotation Program (for Software Engineers),2024-09-12T12:55:30.820-04:00,2024-09-29T09:00:00.000-04:00,2024-09-12T09:00:00.000-04:00
"CyberVillage Networkers, Inc.",https://app.joinhandshake.com/jobs/9160032,Maryland,Ellicott City,Full-Time,iOS App Developer,2024-08-01T12:11:32.214-04:00,2025-02-01T06:00:00.000-05:00,2024-08-01T06:00:00.000-04:00
TikTok Inc.,https://app.joinhandshake.com/jobs/9295506,California,San Jose,Full-Time,Software Engineer Graduate (Experimentation and Evaluation) - 2025 Start (BS/MS),2024-09-12T12:10:00.525-04:00,2025-08-30T08:00:00.000-04:00,2024-09-12T08:00:00.000-04:00
